batsman,bowler,runs,balls,dismissals
RE van der Merwe,A Symonds,12,10,1
A Zampa,A Mishra,5,6,1
Harbhajan Singh,WD Parnell,1,4,1
AT Rayudu,Washington Sundar,14,11,1
BB McCullum,M Morkel,59,38,1
A Joseph,Mohammed Shami,11,7,0
DPMD Jayawardene,BJ Hodge,9,7,0
MJ Lumb,A Kumble,5,7,1
N Rana,SN Thakur,8,7,0
G Gambhir,M Muralitharan,51,41,0
BAW Mendis,R Vinay Kumar,1,1,0
GJ Maxwell,M Muralitharan,3,4,1
GJ Bailey,JP Faulkner,30,12,1
SE Marsh,S Gopal,17,6,0
MK Pandey,MP Stoinis,6,2,0
DA Miller,A Nehra,19,16,0
M Vijay,JA Morkel,10,10,0
YK Pathan,SB Bangar,17,9,0
A Mishra,SC Ganguly,14,15,0
Anirudh Singh,A Kumble,3,6,0
Ankit Sharma,CH Morris,1,2,1
S Dhawan,SB Bangar,3,4,0
KK Nair,Kuldeep Yadav,9,4,0
AD Russell,MG Johnson,14,9,1
CA Lynn,K Gowtham,11,17,1
AB de Villiers,M Markande,8,8,0
LMP Simmons,IK Pathan,17,8,0
P R Barman,S Sharma,0,1,1
BB McCullum,LH Ferguson,8,10,0
M Klinger,Z Khan,12,9,0
M Vohra,AD Russell,18,17,2
ST Jayasuriya,SR Watson,4,9,2
MK Tiwary,Karanveer Singh,6,6,0
RE van der Merwe,I Sharma,1,3,1
CA Lynn,MA Starc,1,1,0
AD Nath,DJ Bravo,7,4,0
JP Duminy,MN Samuels,11,6,0
KH Pandya,JD Unadkat,17,16,1
DPMD Jayawardene,AB Agarkar,44,35,1
Misbah-ul-Haq,DB Ravi Teja,0,1,1
Harpreet Singh,R Bhatia,4,3,0
P Kumar,LR Shukla,7,2,0
HM Amla,JP Faulkner,25,13,0
M Kaif,YK Pathan,2,3,1
TL Suman,S Tyagi,21,10,0
JA Morkel,AB Dinda,1,2,1
Yuvraj Singh,IK Pathan,23,16,1
YS Chahal,K Rabada,1,1,0
P Negi,DL Chahar,2,2,1
IK Pathan,JH Kallis,22,19,0
DPMD Jayawardene,Shoaib Ahmed,9,5,0
S Sohal,WD Parnell,6,5,0
V Sehwag,WPUJC Vaas,28,22,2
M Klinger,JD Unadkat,10,7,0
